ID,term,country,actRating,affRating,emoRating,negRating,concern,EPI,CRI,GDP
10,change,BEL,0.310438148,0.686700806,0.956222969,0.690478332,-0.468577632,1.086940381,0.341906195,-0.209474688
10,emergency,CAN,0.733370408,0.814645085,0.630372945,1.116257325,0.037794764,0.933577802,-1.535161975,0.237129786
10,change,COL,0.733370408,0.718686876,0.532617938,1.055431754,1.394243857,-0.273319015,-0.309749305,-0.275838696
10,emergency,COL,0.582323172,0.590742596,0.597787943,0.660065547,1.394243857,-0.273319015,-0.309749305,-0.275838696
10,change,EST,0.521904278,0.750672946,0.402277928,0.933780614,-1.503047163,0.553505324,0.613142545,-0.377656854
10,change,GTM,0.823998749,0.334854036,0.825882959,0.751303902,0.743315664,-1.680253979,0.201126082,-0.361815751
10,change,HKG,0.250019254,0.686700806,0.500032935,0.629652761,,,,-0.266654959
10,emergency,IRL,0.763579855,0.718686876,0.500032935,1.116257325,-1.090264869,1.05360069,0.175159972,-0.266188946
10,change,ITA,0.552113725,0.750672946,0.662957947,1.177082895,1.011714885,0.933577802,-1.164753856,0.288079071
10,emergency,ITA,0.250019254,0.174923687,0.402277928,0.325524909,1.011714885,0.933577802,-1.164753856,0.288079071
10,warming,KOR,0.733370408,0.814645085,0.662957947,1.177082895,0.32782907,0.633520583,0.175159972,0.188941346
10,warming,NLD,0.129181465,0.206909757,0.467447933,-0.19149244,-1.228408232,1.220299146,-0.116724128,-0.083870688
10,emergency,PAN,0.733370408,0.366840106,0.206767914,0.751303902,1.250104998,-0.646723555,0.388832899,-0.367509884
10,emergency,PHL,1.035464879,0.878617225,0.597787943,0.964193399,0.589884239,-1.240170057,-1.86865442,-0.250195059
10,crisis,TUR,0.068762571,0.046979407,-0.705612154,0.325524909,0.808209155,-0.960116652,0.258689506,-0.119949442
10,crisis,UKR,0.008343677,-0.784658411,-0.803367161,0.386350479,-1.446934447,-0.500028915,1.077091228,-0.339387612
10,emergency,UKR,0.672951513,0.750672946,0.69554295,1.08584454,-1.446934447,-0.500028915,1.077091228,-0.339387612
10,crisis,VEN,0.18960036,0.686700806,0.728127952,0.720891117,1.532917735,-0.446685409,1.040801243,-0.349978895
10,change,VNM,0.91462709,0.846631155,0.69554295,1.116257325,-0.843373079,-1.573566968,-1.399387378,-0.287062435
11,warming,BGR,-0.323960241,-1.904170859,-0.347177127,-1.499242204,,6.64518075019065e-05,0.941629475,-0.367039787
11,change,BRA,-0.323960241,-1.904170859,-0.314592125,-1.499242204,1.34002599,-0.386673965,0.373190664,0.206587529
11,emergency,EST,-0.203122453,-1.904170859,-1.943842245,-1.499242204,-1.503047163,0.553505324,0.613142545,-0.377656854
11,change,FRA,-0.02186577,-1.904170859,-0.347177127,-1.499242204,-0.21361604,1.533692242,-0.773697988,0.538046669
11,emergency,GEO,-0.323960241,-1.904170859,-1.943842245,-1.499242204,-0.406082142,-1.046799848,0.842457707,-0.382191189
11,crisis,GER,,-1.904170859,-1.943842245,-1.499242204,-1.44420561,1.346989972,-1.785437731,0.911242701
11,emergency,GER,,-1.904170859,-1.943842245,-1.499242204,-1.44420561,1.346989972,-1.785437731,0.911242701
11,crisis,GTM,0.129181465,-1.904170859,-0.314592125,-1.499242204,0.743315664,-1.680253979,0.201126082,-0.361815751
11,change,HKG,-0.323960241,-1.904170859,-1.943842245,-1.499242204,,,,-0.266654959
11,crisis,HRV,-0.2333319,-1.904170859,-1.943842245,-1.499242204,,0.406810683,1.170944636,-0.368623029
11,change,IDN,-0.323960241,-1.904170859,-0.314592125,-1.499242204,0.34672202,-1.280177686,-0.085439659,-0.023366808
11,change,KAZ,-0.323960241,-1.904170859,-1.943842245,-1.499242204,-2.031208801,-0.820089949,0.863418301,-0.316154577
11,emergency,KAZ,-1.834432596,-1.904170859,-1.943842245,-1.499242204,-2.031208801,-0.820089949,0.863418301,-0.316154577
11,warming,MYS,-0.082284664,-1.904170859,-0.314592125,-1.499242204,-1.139586902,-0.606715926,0.435759603,-0.244181124
