ID,term,country,actRating,emoRating,epi,GDP,perception,CRI
8,emergency,URY,0.100875493,-0.701329642,0.506142216,-0.352019594,1.075252782,35.67
8,warming,GRC,-0.049846329,0.17597107,-0.835717722,-0.30223623,1.336579789,23.67
8,warming,IND,NA,0.50089726,1.948641648,0.621937941,0.277984085,18.17
8,warming,LBN,-0.713022346,-0.701329642,0.754386304,-0.359980212,0.210767826,67.17
9,change,AZR,0.131019857,-0.246432976,0.680584008,-0.350154621,NA,125
9,change,BGR,0.221452951,-0.636344404,-0.02389246,-0.351551026,NA,101
9,change,CRI,-0.53215616,-1.026255832,0.278026026,-0.351752132,1.366446882,84.67
9,change,ESP,0.221452951,0.046000594,-1.184601305,0.092784524,-0.004163248,47.67
9,change,JPN,0.221452951,-0.863792737,-1.238275703,1.172976737,-0.408307228,5.5
9,change,KAZ,-0.019701965,-1.38367464,0.801351402,-0.300776207,-2.080352124,98.5
9,change,KOR,-0.652733618,-0.343910833,-0.66127593,0.203223956,0.303474683,76.5
9,change,MYS,0.100875493,-0.701329642,0.586653812,-0.228958894,-1.179360999,84.83
9,change,PAN,0.040586764,-0.506373928,0.62690961,-0.352020103,1.235441951,83.33
9,change,PER,-0.079990694,-0.961270594,0.8483165,-0.301185614,1.153252022,94
9,crisis,COL,0.402319137,-0.603851785,0.251188828,-0.260547788,1.381095431,61
9,crisis,MDA,-0.652733618,-0.993763213,0.821479301,-0.369411679,0.719028058,125
9,emergency,FIN,-1.376198364,-1.936049163,-1.493229091,-0.282471695,-0.900321275,125
9,emergency,GTM,0.0104424,-0.668837023,1.666851061,-0.346338323,0.72332724,77.33
9,emergency,IMN,NA,-0.831300118,NA,NA,NA,
9,warming,COL,0.100875493,-0.018984644,0.251188828,-0.260547788,1.381095431,61
9,warming,ITA,0.221452951,-0.538866547,-0.963194416,0.302146611,0.994546819,33.67
9,warming,JPN,-1.165187813,-0.928777975,-1.238275703,1.172976737,-0.408307228,5.5
9,warming,MDA,0.131019857,-0.181447738,0.821479301,-0.369411679,0.719028058,125
9,warming,SLV,0.251597315,-0.051477262,0.908700197,-0.363247003,1.221288812,44.33
10,change,BEL,0.311886044,0.955793926,-1.117508308,-0.19432775,-0.501300717,81.83
10,change,COL,0.733907146,0.533389879,0.251188828,-0.260547788,1.381095431,61
10,change,EST,0.522896595,0.403419403,-0.580764334,-0.362145061,-1.546640526,90.5
10,change,GTM,0.824340239,0.82582345,1.666851061,-0.346338323,0.72332724,77.33
10,change,HKG,0.251597315,0.50089726,NA,-0.251383974,NA,
10,change,ITA,0.553040959,0.663360355,-0.963194416,0.302146611,0.994546819,33.67
10,change,VNM,0.914773332,0.695852974,1.559502266,-0.271747177,-0.880034541,26.17
10,crisis,AZR,0.703762781,0.50089726,0.680584008,-0.350154621,NA,125
10,crisis,TUR,0.070731129,-0.701329642,0.942246695,-0.104996721,0.788902636,79.17
10,crisis,UKR,0.0104424,-0.798807499,0.479305017,-0.32395884,-1.489938174,105.33
10,crisis,VEN,0.191308586,0.728345593,0.425630619,-0.334527147,1.521226505,104.17
10,emergency,CAN,0.733907146,0.630867736,-0.963194416,0.251307856,0.010392676,21.83
